"school_name","borough","building_code","average_math","average_reading","average_writing","percent_tested"
"""New Explorations into Science, Technology and Math High School""","Manhattan","M022",657,601,601,null
"Essex Street Academy","Manhattan","M445",395,411,387,78.9
"Lower Manhattan Arts Academy","Manhattan","M445",418,428,415,65.1
"High School for Dual Language and Asian Studies","Manhattan","M445",613,453,463,95.9
"Henry Street School for International Studies","Manhattan","M056",410,406,381,59.7
